Distance,Value
59.53,"{'Distance': 59.53, 'Time': '2022-02-06 12:55:53.854516', 'value': 0}"
59.13,"{'Distance': 59.13, 'Time': '2022-02-06 12:55:55.697015', 'value': 0}"
23.05,"{'Distance': 23.05, 'Time': '2022-02-06 12:55:58.283726', 'value': 1}"
59.18,"{'Distance': 59.18, 'Time': '2022-02-06 12:56:00.611245', 'value': 0}"
59.17,"{'Distance': 59.17, 'Time': '2022-02-06 12:56:02.464298', 'value': 0}"
40.91,"{'Distance': 40.91, 'Time': '2022-02-06 12:56:04.809394', 'value': 1}"
59.16,"{'Distance': 59.16, 'Time': '2022-02-06 12:56:06.664382', 'value': 0}"
59.1,"{'Distance': 59.1, 'Time': '2022-02-06 12:56:08.528629', 'value': 0}"
58.71,"{'Distance': 58.71, 'Time': '2022-02-06 12:56:10.390457', 'value': 0}"
31.69,"{'Distance': 31.69, 'Time': '2022-02-06 12:56:12.710665', 'value': 1}"
58.78,"{'Distance': 58.78, 'Time': '2022-02-06 12:56:14.526307', 'value': 0}"
58.73,"{'Distance': 58.73, 'Time': '2022-02-06 12:56:16.388533', 'value': 0}"
58.72,"{'Distance': 58.72, 'Time': '2022-02-06 12:56:18.227748', 'value': 0}"
24.78,"{'Distance': 24.78, 'Time': '2022-02-06 12:56:20.568562', 'value': 1}"
59.14,"{'Distance': 59.14, 'Time': '2022-02-06 12:56:22.453275', 'value': 0}"
58.7,"{'Distance': 58.7, 'Time': '2022-02-06 12:56:24.305669', 'value': 0}"
59.51,"{'Distance': 59.51, 'Time': '2022-02-06 12:56:26.151127', 'value': 0}"
61.47,"{'Distance': 61.47, 'Time': '2022-02-06 12:56:28.007364', 'value': 0}"
59.19,"{'Distance': 59.19, 'Time': '2022-02-06 12:56:29.836481', 'value': 0}"
58.75,"{'Distance': 58.75, 'Time': '2022-02-06 12:56:31.674703', 'value': 0}"
59.13,"{'Distance': 59.13, 'Time': '2022-02-06 12:56:33.515933', 'value': 0}"
59.83,"{'Distance': 59.83, 'Time': '2022-02-06 12:56:35.384232', 'value': 0}"
58.69,"{'Distance': 58.69, 'Time': '2022-02-06 12:56:37.191486', 'value': 0}"
59.13,"{'Distance': 59.13, 'Time': '2022-02-06 12:56:39.062532', 'value': 0}"
58.76,"{'Distance': 58.76, 'Time': '2022-02-06 12:56:40.894766', 'value': 0}"
61.01,"{'Distance': 61.01, 'Time': '2022-02-06 12:56:42.705405', 'value': 0}"
59.55,"{'Distance': 59.55, 'Time': '2022-02-06 12:56:44.551622', 'value': 0}"
59.18,"{'Distance': 59.18, 'Time': '2022-02-06 12:56:46.397018', 'value': 0}"
59.54,"{'Distance': 59.54, 'Time': '2022-02-06 12:56:48.243123', 'value': 0}"
21.03,"{'Distance': 21.03, 'Time': '2022-02-06 12:56:50.570992', 'value': 1}"
59.58,"{'Distance': 59.58, 'Time': '2022-02-06 12:56:52.402368', 'value': 0}"
59.63,"{'Distance': 59.63, 'Time': '2022-02-06 12:56:54.246339', 'value': 0}"
60.87,"{'Distance': 60.87, 'Time': '2022-02-06 12:56:56.087999', 'value': 0}"
19.73,"{'Distance': 19.73, 'Time': '2022-02-06 12:56:58.795990', 'value': 1}"
